Experiment Name,Experiment Number,Animal Type,First Run number (minus cal files) ,Intervention Number,Intervention type,Intervention start,Intervention end,Control Start,Control End
11/10/03,1,Dog,,1,D,7,25,5,6
11/10/03,1,Dog,,2,D,27,39,25,26
11/10/03,1,Dog,,3,D,44,56,57,60
11/10/03,1,Dog,,4,D,61,73,74,77
11/10/03,1,Dog,,5,D,78,90,76,77
11/10/03,1,Dog,,6,D,95,111,91,94
11/10/05,2,Dog,,1,D,12,36,7,11
11/10/05,2,Dog,,2,D,40,63,37,39
11/10/05,2,Dog,,3,D,69,93,64,68
11/10/05,2,Dog,,4,D,99,124,94,98
11/10/05,2,Dog,,5,S,130,139,125,129
11/10/12,3,Dog,,1,D,12,23,6,11
11/10/12,3,Dog,,2,D,29,41,24,28
11/10/12,3,Dog,,3,D,46,60,42,45
11/10/12,3,Dog,,4,D,65,79,61,64
11/10/12,3,Dog,,5,D,83,98,80,82
11/10/12,3,Dog,,6,D,102,118,99,101
11/10/12,3,Dog,,7,D,122,139,119,121
11/10/12,3,Dog,,8,D,144,164,139,143
11/10/17,4,Dog,,1,S,10,34,5,9
11/10/17,4,Dog,,2,S,39,63,35,38
11/10/17,4,Dog,,3,S,68,92,64,67
11/10/17,4,Dog,,4,S,97,121,93,96
11/10/17,4,Dog,,5,D,126,150,122,125
11/10/17,4,Dog,,6,D,155,179,151,154
11/10/17,4,Dog,,7,D,184,208,180,183
11/10/17,4,Dog,,8,D,212,236,209,211
11/10/24,5,Dog,,1,S,11,35,5,10
11/10/24,5,Dog,,2,S,40,64,36,39
11/10/24,5,Dog,,3,S,69,93,65,68
11/10/24,5,Dog,,4,S,98,122,94,97
11/10/24,5,Dog,,5,D,127,151,123,126
11/10/24,5,Dog,,6,D,156,181,152,155
11/10/24,5,Dog,,7,D,187,205,182,186
13-10-10,6,Pig,,1,S,12,29,9,13
13-10-10,6,Pig,,2,S,35,61,30,37
13-10-10,6,Pig,,3,S,67,110,62,67
13-10-10,6,Pig,,4,S,116,149,111,117
13-10-10,6,Pig,,5,S,155,188,150,156
13-10-10,6,Pig,,6,S,194,227,189,195
13-10-29,7,Dog,,1,S,11,46,7,10
13-10-29,7,Dog,,2,S,53,88,47,52
13-10-29,7,Dog,,3,S,96,133,89,95
13-10-29,7,Dog,,4,S,140,176,134,139
13-10-29,7,Dog,,5,S,182,215,177,181
13-10-31,8,Dog,,1,S,13,49,9,12
13-10-31,8,Dog,,2,S,55,89,50,54
13-10-31,8,Dog,,3,S,95,132,91,94
13-10-31,8,Dog,,4,S,140,175,133,139
13-10-31,8,Dog,,5,S,181,215,176,180
13-11-05,9,Dog,,1,D,12,43,8,11
13-11-05,9,Dog,,2,D,51,77,44,50
13-11-05,9,Dog,,3,S,83,118,78,82
13-11-05,9,Dog,,4,S,124,159,119,123
13-11-05,9,Dog,,5,S,166,201,160,165
13-11-05,9,Dog,,6,S,207,242,202,206
13-11-07,10,Dog,,1,D,11,37,6,10
13-11-07,10,Dog,,2,D,43,74,38,42
13-11-07,10,Dog,,3,D,80,112,75,79
13-11-07,10,Dog,,4,D,119,151,113,118
13-11-07,10,Dog,,5,D,157,189,152,156
13-11-07,10,Dog,,6,S,195,229,190,194
13-11-12,11,Dog,,1,D,9,35,8,14
13-11-12,11,Dog,,2,D,41,65,29,44
13-11-12,11,Dog,,3,D,71,95,69,74
13-11-12,11,Dog,,4,S,101,137,99,104
13-11-12,11,Dog,,5,S,144,178,142,146
13-11-13,12,Dog,,1,D,11,42,9,14
13-11-13,12,Dog,,2,D,48,72,46,51
13-11-13,12,Dog,,3,D,78,111,76,81
13-11-13,12,Dog,,4,D,118,150,115,122
13-11-13,12,Dog,,5,S,156,190,154,160
13-11-14,13,Dog,,1,D,11,43,8,14
13-11-14,13,Dog,,2,D,49,68,47,52
13-11-14,13,Dog,,3,D,74,107,72,76
13-11-14,13,Dog,,4,D,113,144,111,116
13-11-14,13,Dog,,5,S,151,186,148,153
13-11-18,14,Dog,,1,S,9,44,7,12
13-11-18,14,Dog,,2,S,51,87,49,54
13-11-18,14,Dog,,3,S,95,129,92,96
13-11-18,14,Dog,,4,S,135,170,133,137
13-11-18,14,Dog,,5,D,177,203,174,179
13-11-18,14,Dog,,6,D,210,243,207,212
13-11-19,15,Dog,,1,S,10,45,8,13
13-11-19,15,Dog,,2,S,51,77,49,54
13-11-19,15,Dog,,3,S,83,118,81,85
13-11-19,15,Dog,,4,S,124,159,122,126
13-11-19,15,Dog,,5,S,165,200,163,168
13-11-21,16,Dog,,1,D,10,38,8,13
13-11-21,16,Dog,,2,D,44,75,42,46
13-11-21,16,Dog,,3,D,81,112,79,84
13-12-05,17,Pig,,1,D,23,55,21,26
13-12-05,17,Pig,,2,D,62,94,60,65
13-12-11,18,Pig,,1,D,10,38,8,13
13-12-11,18,Pig,,2,D,44,70,42,47
13-12-11,18,Pig,,3,D,75,102,73,78
13-12-11,18,Pig,,4,D,108,137,106,111
13-12-11,18,Pig,,5,D,143,169,141,146
13-12-11,18,Pig,,6,S,175,210,173,178
13-12-12,19,Pig,,1,D,10,31,8,13
13-12-12,19,Pig,,2,D,37,58,35,40
13-12-12,19,Pig,,3,D,64,76,62,67
13-12-17,20,Pig,,1,D,10,37,8,13
13-12-17,20,Pig,,2,S,45,80,42,47
13-12-17,20,Pig,,3,D,85,114,83,88
13-12-17,20,Pig,,4,S,121,157,118,123
13-12-17,20,Pig,,5,D,164,192,161,166
13-12-17,20,Pig,,6,S,199,234,196,201
13-12-19,21,Pig,,1,D,11,43,9,14
13-12-19,21,Pig,,2,S,50,83,47,52
13-12-19,21,Pig,,3,D,89,121,87,92
13-12-19,21,Pig,,4,S,128,163,125,130
13-12-19,21,Pig,,5,S,169,203,169,172
17-06-28,22,Pig,,1,S,121,159,,
17-06-28,22,Pig,,2,S,160,196,,
17-06-30,23,Pig,,1,S,103,136,,
17-06-30,23,Pig,,2,S,137,185,,
17-09-12,24,Pig,,1,Dobut,313,346,313,314
17-09-12,24,Pig,,2,D,468,499,468,469
17-09-14,25,Pig,,1,Dobut,40,70,38,40
17-09-14,25,Pig,,2,D,170,201,168,170
17-09-14,25,Pig,,3,Dobut,235,266,233,235
17-09-14,25,Pig,,4,D,291,331,290,291
18-04-17,26,Dog,,1,Normalization,1,40,,
18-04-17,26,Dog,,2,Supply,57,85,,
18-04-17,26,Dog,,3,Bruce,102,139,,
18-04-17,26,Dog,,4,Bruce,156,196,,
18-04-17,26,Dog,,5,Dobut,220,285,,
18-04-17,26,Dog,,6,Dobut,302,365,,
18-04-17,26,Dog,,7,Bruce,380,449,,
18-04-17,26,Dog,,8,Large,466,539,,
18-04-24,27,Dog,,1,Normalization,5,45,,
18-04-24,27,Dog,,2,Supply,58,99,,
18-04-24,27,Dog,,3,Bruce,109,174,,
18-04-24,27,Dog,,4,Bruce,195,260,,
18-04-24,27,Dog,,5,Dobut,291,356,,
18-04-24,27,Dog,,6,Dobut,383,448,,
18-04-24,27,Dog,,7,Bruce,477,538,,
18-03-13,28,Pig,,1,Normalization,18,50,,
18-03-13,28,Pig,,2,Supply,91,135,,
18-03-13,28,Pig,,3,Bruce,140,184,,
18-03-13,28,Pig,,4,Bruce,221,282,,
18-03-13,28,Pig,,5,Dobut,315,385,,
18-03-13,28,Pig,,6,Dobut,394,461,,
18-03-13,28,Pig,,7,Bruce,482,550,,
18-03-20,29,Pig,,1,Normalization,35,74,,
18-03-20,29,Pig,,2,Supply,99,138,,
18-03-20,29,Pig,,3,Bruce,155,223,,
18-03-20,29,Pig,,4,Bruce,244,312,,
18-03-20,29,Pig,,5,Dobut,353,430,,
18-03-20,29,Pig,,6,Dobut,431,530,,
